method,planted_wgds,duprate,simid,dup_cost,solution_cost,solution_nbdups,solution_nblosses,time
lcamap,2,10,11,25,101.0,4.0,1.0,0.091954
segdup,2,10,11,5,21,4,1,279.421228
insider,2,10,11,5,21.0,4.0,1.0,0.147627
fastmultrec_greedy,2,10,11,5,21.0,4.0,1.0,0.529095
lcamap,2,10,11,5,21.0,4.0,1.0,0.094747
segdup,2,11,11,10,20,2,0,143.178437
insider,2,11,11,10,20.0,2.0,0.0,0.094175
fastmultrec_greedy,2,11,11,10,20.0,2.0,0.0,0.326928
lcamap,2,11,11,10,20.0,2.0,0.0,0.051572
segdup,2,11,11,15,30,2,0,69.951292
insider,2,11,11,15,30.0,2.0,0.0,0.093344
fastmultrec_greedy,2,11,11,15,30.0,2.0,0.0,0.327697
lcamap,2,11,11,15,30.0,2.0,0.0,0.051854
segdup,2,11,11,20,40,2,0,98.242974
insider,2,11,11,20,40.0,2.0,0.0,0.093123
fastmultrec_greedy,2,11,11,20,40.0,2.0,0.0,0.330137
lcamap,2,11,11,20,40.0,2.0,0.0,0.052558
segdup,2,11,11,25,50,2,0,65.615321
insider,2,11,11,25,50.0,2.0,0.0,0.093771
fastmultrec_greedy,2,11,11,25,50.0,2.0,0.0,0.329937
lcamap,2,11,11,25,50.0,2.0,0.0,0.052659
segdup,2,11,11,5,10,2,0,154.059322
insider,2,11,11,5,10.0,2.0,0.0,0.093164
fastmultrec_greedy,2,11,11,5,10.0,2.0,0.0,0.331683
lcamap,2,11,11,5,10.0,2.0,0.0,0.052274
segdup,2,15,11,10,20,2,0,233.959920
insider,2,15,11,10,20.0,2.0,0.0,0.138139
fastmultrec_greedy,2,15,11,10,20.0,2.0,0.0,0.548695
lcamap,2,15,11,10,20.0,2.0,0.0,0.084597
segdup,2,15,11,15,30,2,0,107.534261
insider,2,15,11,15,30.0,2.0,0.0,0.137343
fastmultrec_greedy,2,15,11,15,30.0,2.0,0.0,0.533671
lcamap,2,15,11,15,30.0,2.0,0.0,0.086427
segdup,2,15,11,20,40,2,0,179.767532
insider,2,15,11,20,40.0,2.0,0.0,0.138214
fastmultrec_greedy,2,15,11,20,40.0,2.0,0.0,0.538439
lcamap,2,15,11,20,40.0,2.0,0.0,0.087161
segdup,2,15,11,25,50,2,0,110.791618
insider,2,15,11,25,50.0,2.0,0.0,0.135959
fastmultrec_greedy,2,15,11,25,50.0,2.0,0.0,0.544786
lcamap,2,15,11,25,50.0,2.0,0.0,0.087747
segdup,2,15,11,5,10,2,0,249.732874
insider,2,15,11,5,10.0,2.0,0.0,0.137310
fastmultrec_greedy,2,15,11,5,10.0,2.0,0.0,0.539338
lcamap,2,15,11,5,10.0,2.0,0.0,0.086915
segdup,2,8,11,10,865,72,145,196.792413
insider,2,8,11,10,854.0,67.0,184.0,0.532925
fastmultrec_greedy,2,8,11,10,865.0,72.0,145.0,0.587508
lcamap,2,8,11,10,865.0,72.0,145.0,0.101017
segdup,2,8,11,15,1218,71,153,177.487071
insider,2,8,11,15,1182.0,64.0,222.0,3.487501
fastmultrec_greedy,2,8,11,15,1225.0,72.0,145.0,0.585449
lcamap,2,8,11,15,1225.0,72.0,145.0,0.107219
segdup,2,8,11,20,1585,72,145,182.462418
insider,2,8,11,20,1498.0,62.0,258.0,10.812134
fastmultrec_greedy,2,8,11,20,1585.0,72.0,145.0,0.582424
lcamap,2,8,11,20,1585.0,72.0,145.0,0.104359
segdup,2,8,11,25,1945,72,145,176.069190
insider,2,8,11,25,1803.0,60.0,303.0,50.803047
fastmultrec_greedy,2,8,11,25,1945.0,72.0,145.0,0.599039
lcamap,2,8,11,25,1945.0,72.0,145.0,0.105856
segdup,2,8,11,5,505,72,145,194.471760
insider,2,8,11,5,505.0,72.0,145.0,0.245956
fastmultrec_greedy,2,8,11,5,505.0,72.0,145.0,0.594774
lcamap,2,8,11,5,505.0,72.0,145.0,0.101660
segdup,2,9,11,10,156,15,6,145.891779
insider,2,9,11,10,156.0,15.0,6.0,0.145478
fastmultrec_greedy,2,9,11,10,156.0,15.0,6.0,0.457565
lcamap,2,9,11,10,156.0,15.0,6.0,0.069890
segdup,2,9,11,15,231,15,6,92.159887
insider,2,9,11,15,231.0,15.0,6.0,0.204345
fastmultrec_greedy,2,9,11,15,231.0,15.0,6.0,0.463629
lcamap,2,9,11,15,231.0,15.0,6.0,0.079882
segdup,2,9,11,20,306,15,6,92.403209
insider,2,9,11,20,306.0,15.0,6.0,0.366996
fastmultrec_greedy,2,9,11,20,306.0,15.0,6.0,0.450818
